食品番号,索引番号,食品名,エネルギー（Kcal）,タンパク質,脂質,炭水化物
11119,1766,＜畜肉類＞ ぶた ［大型種肉］ かたロース 脂身つき 生,237.0,17.1,19.2,0.1
11120,1767,＜畜肉類＞ ぶた ［大型種肉］ かたロース 皮下脂肪なし 生,212.0,17.8,16.0,0.1
11121,1768,＜畜肉類＞ ぶた ［大型種肉］ かたロース 赤肉 生,146.0,19.7,7.8,0.1
11122,1769,＜畜肉類＞ ぶた ［大型種肉］ かたロース 脂身 生,644.0,5.4,70.7,0.0
11123,1770,＜畜肉類＞ ぶた ［大型種肉］ ロース 脂身つき 生,248.0,19.3,19.2,0.2
11125,1771,＜畜肉類＞ ぶた ［大型種肉］ ロース 脂身つき ゆで,299.0,23.9,24.1,0.3
11124,1772,＜畜肉類＞ ぶた ［大型種肉］ ロース 脂身つき 焼き,310.0,26.7,22.7,0.3
11276,1773,＜畜肉類＞ ぶた ［大型種肉］ ロース 脂身つき とんかつ,429.0,22.0,35.9,9.8
11126,1774,＜畜肉類＞ ぶた ［大型種肉］ ロース 皮下脂肪なし 生,190.0,21.1,11.9,0.3
11127,1775,＜畜肉類＞ ぶた ［大型種肉］ ロース 赤肉 生,140.0,22.7,5.6,0.3
11128,1776,＜畜肉類＞ ぶた ［大型種肉］ ロース 脂身 生,695.0,5.1,76.3,0.0
11129,1777,＜畜肉類＞ ぶた ［大型種肉］ ばら 脂身つき 生,366.0,14.4,35.4,0.1
11277,1778,＜畜肉類＞ ぶた ［大型種肉］ ばら 脂身つき 焼き,444.0,19.6,43.9,0.1
11130,1779,＜畜肉類＞ ぶた ［大型種肉］ もも 脂身つき 生,171.0,20.5,10.2,0.2
11131,1780,＜畜肉類＞ ぶた ［大型種肉］ もも 皮下脂肪なし 生,138.0,21.5,6.0,0.2
11133,1781,＜畜肉類＞ ぶた ［大型種肉］ もも 皮下脂肪なし ゆで,185.0,28.9,8.1,0.3
11132,1782,＜畜肉類＞ ぶた ［大型種肉］ もも 皮下脂肪なし 焼き,186.0,30.2,7.6,0.3
11134,1783,＜畜肉類＞ ぶた ［大型種肉］ もも 赤肉 生,119.0,22.1,3.6,0.2
11135,1784,＜畜肉類＞ ぶた ［大型種肉］ もも 脂身 生,611.0,6.5,67.6,0.0
11136,1785,＜畜肉類＞ ぶた ［大型種肉］ そともも 脂身つき 生,221.0,18.8,16.5,0.2
11137,1786,＜畜肉類＞ ぶた ［大型種肉］ そともも 皮下脂肪なし 生,175.0,20.2,10.7,0.2
11138,1787,＜畜肉類＞ ぶた ［大型種肉］ そともも 赤肉 生,133.0,21.4,5.5,0.2
11139,1788,＜畜肉類＞ ぶた ［大型種肉］ そともも 脂身 生,631.0,6.6,68.1,0.0
11140,1789,＜畜肉類＞ ぶた ［大型種肉］ ヒレ 赤肉 生,118.0,22.2,3.7,0.3
11278,1790,＜畜肉類＞ ぶた ［大型種肉］ ヒレ 赤肉 焼き,202.0,39.3,5.9,0.4
11279,1791,＜畜肉類＞ ぶた ［大型種肉］ ヒレ 赤肉 とんかつ,379.0,25.1,25.3,14.9
11141,1792,＜畜肉類＞ ぶた ［中型種肉］ かた 脂身つき 生,224.0,18.3,17.2,0.0
11142,1793,＜畜肉類＞ ぶた ［中型種肉］ かた 皮下脂肪なし 生,172.0,19.7,10.8,0.0
11143,1794,＜畜肉類＞ ぶた ［中型種肉］ かた 赤肉 生,113.0,21.4,3.5,0.0
11144,1795,＜畜肉類＞ ぶた ［中型種肉］ かた 脂身 生,698.0,4.9,75.7,0.0
11145,1796,＜畜肉類＞ ぶた ［中型種肉］ かたロース 脂身つき 生,241.0,17.7,19.3,0.0
11146,1797,＜畜肉類＞ ぶた ［中型種肉］ かたロース 皮下脂肪なし 生,212.0,18.5,15.7,0.0
11147,1798,＜畜肉類＞ ぶた ［中型種肉］ かたロース 赤肉 生,140.0,20.6,6.8,0.0
11148,1799,＜畜肉類＞ ぶた ［中型種肉］ かたロース 脂身 生,663.0,5.4,71.9,0.0
11149,1800,＜畜肉類＞ ぶた ［中型種肉］ ロース 脂身つき 生,275.0,18.3,22.6,0.2
11150,1801,＜畜肉類＞ ぶた ［中型種肉］ ロース 皮下脂肪なし 生,203.0,20.6,13.6,0.2
11151,1802,＜畜肉類＞ ぶた ［中型種肉］ ロース 赤肉 生,131.0,22.9,4.6,0.2
11152,1803,＜畜肉類＞ ぶた ［中型種肉］ ロース 脂身 生,716.0,4.1,78.3,0.0
11153,1804,＜畜肉類＞ ぶた ［中型種肉］ ばら 脂身つき 生,398.0,13.4,40.1,0.0
11154,1805,＜畜肉類＞ ぶた ［中型種肉］ もも 脂身つき 生,211.0,19.5,15.1,0.2
11155,1806,＜畜肉類＞ ぶた ［中型種肉］ もも 皮下脂肪なし 生,153.0,21.3,7.8,0.2
11156,1807,＜畜肉類＞ ぶた ［中型種肉］ もも 赤肉 生,133.0,21.9,5.3,0.2
11157,1808,＜畜肉類＞ ぶた ［中型種肉］ もも 脂身 生,672.0,5.2,73.8,0.0
11158,1809,＜畜肉類＞ ぶた ［中型種肉］ そともも 脂身つき 生,252.0,18.0,20.3,0.2
11159,1810,＜畜肉類＞ ぶた ［中型種肉］ そともも 皮下脂肪なし 生,159.0,21.0,8.5,0.2
11160,1811,＜畜肉類＞ ぶた ［中型種肉］ そともも 赤肉 生,129.0,21.9,4.8,0.2
11161,1812,＜畜肉類＞ ぶた ［中型種肉］ そともも 脂身 生,660.0,4.9,72.5,0.0
11162,1813,＜畜肉類＞ ぶた ［中型種肉］ ヒレ 赤肉 生,105.0,22.7,1.7,0.1
11163,1814,＜畜肉類＞ ぶた ［ひき肉］ 生,209.0,17.7,17.2,0.1
11280,1815,＜畜肉類＞ ぶた ［ひき肉］ 焼き,289.0,25.7,21.5,0.1
11164,1816,＜畜肉類＞ ぶた ［副生物］ 舌 生,205.0,15.9,16.3,0.1
11165,1817,＜畜肉類＞ ぶた ［副生物］ 心臓 生,118.0,16.2,7.0,0.1
11166,1818,＜畜肉類＞ ぶた ［副生物］ 肝臓 生,114.0,20.4,3.4,2.5
11167,1819,＜畜肉類＞ ぶた ［副生物］ じん臓 生,96.0,14.1,5.8,0.0
11168,1820,＜畜肉類＞ ぶた ［副生物］ 胃 ゆで,111.0,17.4,5.1,0.0
11169,1821,＜畜肉類＞ ぶた ［副生物］ 小腸 ゆで,159.0,14.0,11.9,0.0
11170,1822,＜畜肉類＞ ぶた ［副生物］ 大腸 ゆで,166.0,11.7,13.8,0.0
11171,1823,＜畜肉類＞ ぶた ［副生物］ 子宮 生,64.0,14.6,0.9,0.0
11172,1824,＜畜肉類＞ ぶた ［副生物］ 豚足 ゆで,227.0,20.1,16.8,0.0
11173,1825,＜畜肉類＞ ぶた ［副生物］ 軟骨 ゆで,229.0,17.8,17.9,0.0
11174,1826,＜畜肉類＞ ぶた ［ハム類］ 骨付きハム,208.0,16.7,16.6,0.8
11175,1827,＜畜肉類＞ ぶた ［ハム類］ ボンレスハム,115.0,18.7,4.0,1.8
